Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна до січ.18р.в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна до січ.18р.в %
Загалом по Києву,,15 429,72,2 600 708,34 639,"-1,0",93 596,1 247,"0,1"
,1-кімн.,3 953,43,1 455 072,33 444,"-1,8",52 366,1 204,"-0,7"
,2-кімн.,4 985,64,2 339 181,35 316,"-1,1",84 184,1 271,"0,0"
,3-кімн.,5 253,89,3 233 705,34 494,"-0,5",116 376,1 241,"0,6"
,4-кімн.,1 238,120,4 625 980,36 348,"-0,8",166 482,1 308,"0,3"
Голосіївський,,2 085,73,2 648 505,34 772,"-0,5",95 316,1 251,"0,6"
,1-кімн.,573,44,1 469 667,33 008,"-1,6",52 891,1 188,"-0,5"
,2-кімн.,714,67,2 366 918,34 613,"-1,1",85 182,1 246,"0,0"
,3-кімн.,649,92,3 428 575,35 703,"1,0",123 390,1 285,"2,1"
,4-кімн.,149,127,5 133 492,38 260,"0,4",184 747,1 377,"1,5"
Дарницький,,2 164,72,2 028 876,28 082,"-0,5",73 016,1 011,"0,6"
,1-кімн.,560,42,1 263 466,29 437,"0,0",45 470,1 059,"1,1"
,2-кімн.,652,66,1 912 664,28 784,"-1,2",68 834,1 036,"-0,1"
,3-кімн.,772,90,2 449 466,26 967,"-0,6",88 153,970,"0,5"
,4-кімн.,180,114,3 027 237,26 113,"2,5",108 946,940,"3,6"
Деснянський,,843,66,1 481 119,22 972,"-0,4",53 303,827,"0,8"
,1-кімн.,186,39,1 002 132,25 608,"0,8",36 065,922,"1,9"
,2-кімн.,222,59,1 442 289,24 372,"0,9",51 906,877,"2,1"
,3-кімн.,353,78,1 678 458,21 463,"0,0",60 405,772,"1,1"
,4-кімн.,82,92,1 823 203,19 699,"-5,0",65 614,709,"-3,9"
Дніпровський,,1 737,63,1 783 650,28 014,"0,4",64 191,1 008,"1,5"
,1-кімн.,515,42,1 238 724,29 380,"0,9",44 580,1 057,"2,1"
,2-кімн.,591,60,1 681 911,27 809,"-0,4",60 530,1 001,"0,7"
,3-кімн.,522,79,2 200 280,27 130,"0,7",79 185,976,"1,8"
,4-кімн.,109,105,2 914 695,26 911,"1,6",104 896,968,"2,8"
Оболонський,,1 055,71,2 587 625,34 496,"1,0",93 125,1 241,"2,1"
,1-кімн.,258,42,1 483 960,34 761,"-0,1",53 406,1 251,"1,1"
,2-кімн.,300,63,2 194 224,34 015,"-1,3",78 967,1 224,"-0,1"
,3-кімн.,402,85,3 074 823,33 646,"3,5",110 658,1 211,"4,7"
,4-кімн.,95,114,4 765 653,38 885,"-0,3",171 509,1 399,"0,9"
Печерський,,1 796,84,4 803 010,55 924,"-0,8",172 853,2 013,"0,3"
,1-кімн.,350,47,2 530 910,53 059,"-1,7",91 084,1 910,"-0,6"
,2-кімн.,648,71,4 043 314,56 055,"-1,1",145 513,2 017,"0,0"
,3-кімн.,631,104,6 071 720,57 697,"0,1",218 513,2 076,"1,3"
,4-кімн.,167,140,7 718 952,54 717,"-2,1",277 794,1 969,"-1,0"
Подільський,,998,64,2 105 815,31 623,"0,2",75 785,1 138,"1,4"
,1-кімн.,329,41,1 260 486,30 564,"0,8",45 363,1 100,"2,0"
,2-кімн.,314,62,2 069 108,32 451,"-1,6",74 464,1 168,"-0,5"
,3-кімн.,295,82,2 628 015,31 159,"1,5",94 579,1 121,"2,7"
,4-кімн.,60,117,4 365 652,35 382,"0,0",157 114,1 273,"1,2"
Святошинський,,1 088,65,1 718 427,26 244,"-0,6",61 844,944,"0,5"
,1-кімн.,264,40,1 103 189,27 769,"-0,4",39 702,999,"0,7"
,2-кімн.,325,60,1 555 863,25 811,"-0,4",55 993,929,"0,7"
,3-кімн.,405,78,2 040 368,25 792,"-1,1",73 430,928,"0,0"
,4-кімн.,94,100,2 621 298,25 404,"0,5",94 337,914,"1,6"
Солом'янський,,1 684,68,2 174 895,30 614,"-4,1",78 271,1 102,"-3,1"
,1-кімн.,513,43,1 322 419,30 256,"-9,5",47 592,1 089,"-8,5"
,2-кімн.,511,61,1 942 617,30 949,"-2,6",69 912,1 114,"-1,5"
,3-кімн.,557,89,2 801 693,30 397,"-1,9",100 829,1 094,"-0,8"
,4-кімн.,103,126,4 183 503,31 900,"1,3",150 558,1 148,"2,5"
Шевченківський,,1 979,78,3 474 986,42 777,"0,3",125 060,1 539,"1,4"
,1-кімн.,405,43,1 789 819,40 650,"2,0",64 413,1 463,"3,1"
,2-кімн.,708,65,2 801 150,42 094,"0,7",100 809,1 515,"1,8"
,3-кіімн.,667,96,4 347 802,43 430,"-0,1",156 471,1 563,"1,0"
,4-кімн.,199,134,6 376 495,47 341,"-2,0",229 481,1 704,"-0,9"
