Район,К-сть кімнат,Вибірка квартир,"Сер. заг пл., кв.м","Сер. ціна, грн","Сер. ціна, грн/кв.м",Зміна в %,"Сер. ціна, $","Сер. ціна, $/кв.м",Зміна в %
Загалом по Києву,,11 199,74,3 171 678,41 756,"2,3",111 287,1 465,"1,8"
,1-кімн.,2 925,43,1 883 150,42 928,"3,0",66 075,1 506,"2,4"
,2-кімн.,3 496,65,2 776 046,41 566,"1,7",97 405,1 458,"1,2"
,3-кімн.,3 806,92,3 900 535,40 734,"2,2",136 861,1 429,"1,7"
,4-кімн.,972,126,5 618 226,42 912,"2,7",197 131,1 506,"2,1"
Голосіївський,,1 533,73,3 383 231,45 052,"2,1",118 710,1 581,"1,5"
,1-кімн.,462,44,2 083 753,46 602,"2,7",73 114,1 635,"2,1"
,2-кімн.,484,69,3 082 609,44 023,"0,6",108 162,1 545,"0,0"
,3-кімн.,492,94,4 326 973,44 377,"2,5",151 824,1 557,"1,9"
,4-кімн.,95,133,6 346 796,46 261,"4,8",222 695,1 623,"4,2"
Дарницький,,1 595,74,2 541 647,34 845,"1,20",89 181,1 223,"0,7"
,1-кімн.,420,43,1 675 167,38 501,"0,4",58 778,1 351,"-0,1"
,2-кімн.,488,67,2 377 128,35 188,"2,4",83 408,1 235,"1,9"
,3-кімн.,562,93,3 065 734,32 735,"1,3",107 570,1 149,"0,7"
,4-кімн.,125,119,3 739 010,30 704,"-0,2",131 193,1 077,"-0,7"
Деснянський,,527,64,1 708 038,27 133,"1,5",59 931,952,"1,0"
,1-кімн.,131,41,1 255 289,30 703,"1,2",44 045,1 077,"0,7"
,2-кімн.,154,59,1 625 467,27 590,"-0,2",57 034,968,"-0,7"
,3-кімн.,201,78,1 974 535,25 299,"2,0",69 282,888,"1,4"
,4-кімн.,41,94,2 158 284,23 003,"1,6",75 729,807,"1,1"
Дніпровський,,1 280,65,2 270 933,35 247,"2,3",79 682,1 237,"1,8"
,1-кімн.,414,42,1 636 387,38 922,"4,6",57 417,1 366,"4,1"
,2-кімн.,376,60,2 077 096,34 038,"1,1",72 881,1 194,"0,6"
,3-кімн.,397,82,2 772 292,33 170,"0,6",97 273,1 164,"0,0"
,4-кімн.,93,109,3 739 163,32 646,"3,1",131 199,1 145,"2,5"
Оболонський,,761,74,3 089 312,39 803,"2,9",108 397,1 397,"2,4"
,1-кімн.,206,43,1 639 894,38 546,"2,6",57 540,1 353,"2,1"
,2-кімн.,207,65,2 536 915,38 598,"3,7",89 015,1 354,"3,1"
,3-кімн.,267,88,3 610 211,39 124,"1,7",126 674,1 373,"1,2"
,4-кімн.,81,130,6 470 134,48 313,"3,1",227 022,1 695,"2,6"
Печерський,,1 479,89,5 305 181,59 179,"1,7",186 147,2 076,"1,1"
,1-кімн.,255,50,3 114 199,62 004,"4,0",109 270,2 176,"3,4"
,2-кімн.,473,71,4 155 248,58 232,"0,3",145 798,2 043,"-0,3"
,3-кімн.,571,106,6 312 378,58 760,"2,1",221 487,2 062,"1,5"
,4-кімн.,180,139,8 235 789,58 993,"1,3",288 975,2 070,"0,8"
Подільський,,754,68,2 724 891,39 649,"2,9",95 610,1 391,"2,3"
,1-кімн.,224,42,1 772 198,41 728,"5,5",62 182,1 464,"4,9"
,2-кімн.,252,63,2 474 215,38 919,"1,4",86 815,1 366,"0,9"
,3-кімн.,233,88,3 413 957,38 030,"1,3",119 788,1 334,"0,8"
,4-кімн.,45,123,5 303 151,41 774,"4,8",186 075,1 466,"4,2"
Святошинський,,692,66,2 091 800,32 203,"4,6",73 396,1 130,"4,1"
,1-кімн.,187,39,1 414 440,36 220,"9,6",49 629,1 271,"9,0"
,2-кімн.,192,60,1 918 521,31 852,"2,9",67 317,1 118,"2,4"
,3-кімн.,244,80,2 460 940,30 187,"0,9",86 349,1 059,"0,4"
,4-кімн.,69,103,3 104 343,29 427,"5,80",108 924,1 033,"5,2"
Солом'янський,,1 135,71,2 671 723,37 419,"2,6",93 745,1 313,"2,0"
,1-кімн.,340,42,1 703 917,39 855,"3,1",59 787,1 398,"2,5"
,2-кімн.,357,64,2 494 593,37 889,"1,6",87 530,1 329,"1,0"
,3-кімн.,357,92,3 325 946,35 157,"3,0",116 700,1 234,"2,5"
,4-кімн.,81,130,4 631 381,35 093,"3,7",162 505,1 231,"3,2"
Шевченківський,,1 443,79,3 978 130,49 272,"1,7",139 583,1 729,"1,2"
,1-кімн.,286,43,2 193 352,50 023,"3,6",76 960,1 755,"3,1"
,2-кімн.,513,65,3 213 886,48 357,"1,6",112 768,1 697,"1,1"
,3-кіімн.,482,96,4 864 239,49 319,"0,6",170 675,1 731,"0,1"
,4-кімн.,162,135,6 912 690,50 700,"1,9",242 551,1 779,"1,4"
