month,district,rooms,area,price_usd_sm
1,7,1,44,1188
1,7,2,67,1246
1,7,3,92,1285
1,7,4,127,1377
1,4,1,42,1059
1,4,2,66,1036
1,4,3,90,970
1,4,4,114,940
1,1,1,39,922
1,1,2,59,877
1,1,3,78,772
1,1,4,92,709
1,3,1,42,1057
1,3,2,60,1001
1,3,3,79,976
1,3,4,105,968
1,8,1,42,1251
1,8,2,63,1224
1,8,3,85,1211
1,8,4,114,1399
1,10,1,47,1910
1,10,2,71,2017
1,10,3,104,2076
1,10,4,140,1969
1,6,1,41,1100
1,6,2,62,1168
1,6,3,82,1121
1,6,4,117,1273
1,2,1,40,999
1,2,2,60,929
1,2,3,78,928
1,2,4,100,914
1,5,1,43,1089
1,5,2,61,1114
1,5,3,89,1094
1,5,4,126,1148
1,9,1,43,1463
1,9,2,65,1515
1,9,3,96,1563
1,9,4,134,1704
2,7,1,44,1212
2,7,2,67,1281
2,7,3,92,1285
2,7,4,129,1356
2,4,1,43,1078
2,4,2,66,1041
2,4,3,90,975
2,4,4,116,929
2,1,1,39,935
2,1,2,59,892
2,1,3,78,780
2,1,4,93,722
2,3,1,43,1087
2,3,2,61,1025
2,3,3,79,989
2,3,4,107,1035
2,8,1,42,1308
2,8,2,63,1228
2,8,3,84,1201
2,8,4,113,1386
2,10,1,48,1956
2,10,2,71,2041
2,10,3,104,2053
2,10,4,142,1944
2,6,1,41,1140
2,6,2,63,1221
2,6,3,82,1161
2,6,4,116,1234
2,2,1,40,1007
2,2,2,60,936
2,2,3,78,931
2,2,4,100,897
2,5,1,43,1154
2,5,2,61,1138
2,5,3,90,1108
2,5,4,124,1144
2,9,1,44,1491
2,9,2,65,1522
2,9,3,97,1584
2,9,4,134,1716
3,7,1,43,1212
3,7,2,67,1287
3,7,3,92,1260
3,7,4,130,1351
3,4,1,42,1086
3,4,2,66,1041
3,4,3,90,976
3,4,4,115,933
3,1,1,39,935
3,1,2,59,902
3,1,3,78,792
3,1,4,93,711
3,3,1,42,1078
3,3,2,62,1024
3,3,3,80,1001
3,3,4,107,1047
3,8,1,42,1307
3,8,2,62,1238
3,8,3,85,1208
3,8,4,112,1338
3,10,1,47,1961
3,10,2,70,2066
3,10,3,103,2027
3,10,4,137,1944
3,6,1,41,1145
3,6,2,62,1229
3,6,3,83,1152
3,6,4,115,1200
3,2,1,39,986
3,2,2,61,946
3,2,3,79,940
3,2,4,98,904
3,5,1,43,1137
3,5,2,62,1149
3,5,3,90,1110
3,5,4,124,1156
3,9,1,43,1473
3,9,2,65,1523
3,9,3,96,1576
3,9,4,135,1718
4,7,1,44,1229
4,7,2,69,1314
4,7,3,94,1289
4,7,4,129,1337
4,4,1,43,1087
4,4,2,67,1045
4,4,3,90,988
4,4,4,117,951
4,1,1,39,940
4,1,2,59,905
4,1,3,78,793
4,1,4,93,740
4,3,1,42,1096
4,3,2,63,1034
4,3,3,80,1000
4,3,4,109,1033
4,8,1,43,1330
4,8,2,62,1244
4,8,3,87,1235
4,8,4,116,1428
4,10,1,48,1985
4,10,2,71,2034
4,10,3,105,2062
4,10,4,142,1939
4,6,1,41,1160
4,6,2,64,1205
4,6,3,85,1154
4,6,4,115,1225
4,2,1,40,991
4,2,2,61,958
4,2,3,79,947
4,2,4,99,924
4,5,1,42,1166
4,5,2,62,1172
4,5,3,91,1130
4,5,4,125,1157
4,9,1,43,1525
4,9,2,65,1552
4,9,3,97,1608
4,9,4,137,1732
5,7,1,44,1228
5,7,2,69,1326
5,7,3,93,1307
5,7,4,130,1336
5,4,1,43,1096
5,4,2,68,1058
5,4,3,91,993
5,4,4,116,949
5,1,1,39,936
5,1,2,60,913
5,1,3,78,803
5,1,4,93,733
5,3,1,42,1124
5,3,2,64,1062
5,3,3,80,1004
5,3,4,108,1024
5,8,1,43,1365
5,8,2,63,1259
5,8,3,89,1303
5,8,4,119,1494
5,10,1,49,2061
5,10,2,71,2069
5,10,3,105,2118
5,10,4,141,1950
5,6,1,42,1196
5,6,2,64,1221
5,6,3,87,1158
5,6,4,118,1246
5,2,1,40,977
5,2,2,61,958
5,2,3,79,949
5,2,4,99,911
5,5,1,43,1183
5,5,2,63,1190
5,5,3,91,1120
5,5,4,127,1155
5,9,1,43,1502
5,9,2,66,1607
5,9,3,97,1612
5,9,4,135,1745
6,7,1,44,1209
6,7,2,69,1324
6,7,3,94,1325
6,7,4,130,1369
6,4,1,43,1095
6,4,2,68,1045
6,4,3,91,992
6,4,4,116,962
6,1,1,39,928
6,1,2,60,903
6,1,3,79,807
6,1,4,91,732
6,3,1,41,1131
6,3,2,63,1062
6,3,3,81,1009
6,3,4,108,1024
6,8,1,43,1373
6,8,2,63,1286
6,8,3,89,1294
6,8,4,123,1515
6,10,1,48,2067
6,10,2,71,2064
6,10,3,105,2102
6,10,4,143,1873
6,6,1,42,1207
6,6,2,64,1249
6,6,3,87,1168
6,6,4,120,1321
6,2,1,41,983
6,2,2,61,960
6,2,3,79,947
6,2,4,100,928
6,5,1,42,1195
6,5,2,63,1180
6,5,3,92,1115
6,5,4,127,1170
6,9,1,44,1509
6,9,2,66,1591
6,9,3,96,1624
6,9,4,134,1720
7,7,1,43,1204
7,7,2,68,1337
7,7,3,94,1312
7,7,4,131,1377
7,4,1,43,1088
7,4,2,68,1044
7,4,3,91,997
7,4,4,114,964
7,1,1,39,930
7,1,2,60,916
7,1,3,79,816
7,1,4,93,728
7,3,1,41,1153
7,3,2,64,1059
7,3,3,81,1017
7,3,4,108,1019
7,8,1,43,1401
7,8,2,63,1296
7,8,3,89,1311
7,8,4,124,1560
7,10,1,48,2094
7,10,2,71,2121
7,10,3,104,2112
7,10,4,141,1912
7,6,1,41,1207
7,6,2,64,1268
7,6,3,88,1176
7,6,4,118,1282
7,2,1,40,995
7,2,2,61,982
7,2,3,79,954
7,2,4,101,924
7,5,1,42,1189
7,5,2,64,1199
7,5,3,91,1129
7,5,4,129,1195
7,9,1,44,1515
7,9,2,66,1645
7,9,3,96,1600
7,9,4,135,1750
8,7,1,44,1220
8,7,2,69,1369
8,7,3,95,1331
8,7,4,131,1413
8,4,1,43,1095
8,4,2,68,1056
8,4,3,91,998
8,4,4,118,989
8,1,1,38,928
8,1,2,61,918
8,1,3,78,816
8,1,4,93,733
8,3,1,41,1167
8,3,2,65,1058
8,3,3,81,1032
8,3,4,107,1036
8,8,1,44,1393
8,8,2,64,1273
8,8,3,88,1323
8,8,4,124,1574
8,10,1,49,2110
8,10,2,71,2123
8,10,3,105,2117
8,10,4,139,1949
8,6,1,41,1216
8,6,2,64,1284
8,6,3,88,1167
8,6,4,117,1249
8,2,1,39,1031
8,2,2,62,975
8,2,3,79,962
8,2,4,101,928
8,5,1,42,1227
8,5,2,64,1196
8,5,3,91,1138
8,5,4,129,1174
8,9,1,43,1573
8,9,2,67,1659
8,9,3,97,1628
8,9,4,136,1759
9,7,1,43,1271
9,7,2,69,1360
9,7,3,97,1368
9,7,4,131,1395
9,4,1,43,1088
9,4,2,68,1068
9,4,3,92,1024
9,4,4,117,991
9,1,1,38,940
9,1,2,60,917
9,1,3,78,823
9,1,4,94,745
9,3,1,41,1211
9,3,2,64,1114
9,3,3,82,1060
9,3,4,106,1043
9,8,1,43,1385
9,8,2,64,1286
9,8,3,88,1308
9,8,4,127,1628
9,10,1,49,2103
9,10,2,72,2128
9,10,3,105,2121
9,10,4,139,1982
9,6,1,41,1262
9,6,2,65,1321
9,6,3,89,1222
9,6,4,114,1257
9,2,1,40,1036
9,2,2,61,971
9,2,3,79,980
9,2,4,101,901
9,5,1,42,1208
9,5,2,66,1226
9,5,3,90,1135
9,5,4,128,1174
9,9,1,44,1575
9,9,2,68,1670
9,9,3,97,1647
9,9,4,137,1763
10,7,1,43,1274
10,7,2,69,1366
10,7,3,96,1374
10,7,4,133,1409
10,4,1,44,1147
10,4,2,68,1086
10,4,3,93,1039
10,4,4,118,1011
10,1,1,39,966
10,1,2,61,940
10,1,3,78,851
10,1,4,94,767
10,3,1,41,1237
10,3,2,63,1108
10,3,3,83,1075
10,3,4,108,1027
10,8,1,42,1334
10,8,2,70,1233
10,8,3,90,1309
10,8,4,127,1580
10,10,1,49,2125
10,10,2,72,2121
10,10,3,106,2164
10,10,4,142,1962
10,6,1,40,1242
10,6,2,66,1328
10,6,3,90,1203
10,6,4,118,1329
10,2,1,41,1043
10,2,2,61,1003
10,2,3,80,1002
10,2,4,104,942
10,5,1,42,1230
10,5,2,64,1238
10,5,3,91,1134
10,5,4,128,1186
10,9,1,44,1607
10,9,2,66,1657
